,loss,accuracy,model
0,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.27,TransductiveAGNN
1,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.2733333333333333,TransductiveAGNN
2,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.21,TransductiveAGNN
3,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.21666666666666667,TransductiveAGNN
4,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.5066666666666667,TransductiveAGNN
5,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.25333333333333335,TransductiveAGNN
6,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.24666666666666667,TransductiveAGNN
7,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.25,TransductiveAGNN
8,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.25,TransductiveAGNN
9,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.27,TransductiveAGNN
10,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.43,TransductiveAGNN
11,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.5466666666666666,TransductiveAGNN
12,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.5366666666666666,TransductiveAGNN
13,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.5066666666666667,TransductiveAGNN
14,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.5166666666666667,TransductiveAGNN
15,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.49666666666666665,TransductiveAGNN
16,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.5066666666666667,TransductiveAGNN
17,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.5133333333333333,TransductiveAGNN
18,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.56,TransductiveAGNN
19,"tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)",0.66,TransductiveAGNN
20,"tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)",0.6533333333333333,TransductiveAGNN
21,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.5266666666666666,TransductiveAGNN
22,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.5266666666666666,TransductiveAGNN
23,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.5466666666666666,TransductiveAGNN
24,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.59,TransductiveAGNN
25,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.6066666666666667,TransductiveAGNN
26,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.6033333333333334,TransductiveAGNN
27,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.56,TransductiveAGNN
28,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.5533333333333333,TransductiveAGNN
29,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.63,TransductiveAGNN
30,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.6466666666666666,TransductiveAGNN
31,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.62,TransductiveAGNN
32,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.6366666666666667,TransductiveAGNN
33,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.64,TransductiveAGNN
34,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.6666666666666666,TransductiveAGNN
35,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.7166666666666667,TransductiveAGNN
36,"tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)",0.7366666666666667,TransductiveAGNN
37,"tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)",0.71,TransductiveAGNN
38,"tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)",0.67,TransductiveAGNN
39,"tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)",0.6833333333333333,TransductiveAGNN
40,"tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",0.7366666666666667,TransductiveAGNN
41,"tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)",0.77,TransductiveAGNN
