,loss,accuracy,model
0,"tensor(0.0022, device='cuda:0', grad_fn=<DivBackward0>)",0.23666666666666666,TransductiveSuperGAT
1,"tensor(0.0021, device='cuda:0', grad_fn=<DivBackward0>)",0.2,TransductiveSuperGAT
2,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.3466666666666667,TransductiveSuperGAT
3,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.31333333333333335,TransductiveSuperGAT
4,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.3933333333333333,TransductiveSuperGAT
5,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.25,TransductiveSuperGAT
6,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.32666666666666666,TransductiveSuperGAT
7,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.3933333333333333,TransductiveSuperGAT
8,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.3466666666666667,TransductiveSuperGAT
9,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.36666666666666664,TransductiveSuperGAT
10,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.33,TransductiveSuperGAT
11,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.31333333333333335,TransductiveSuperGAT
12,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.31333333333333335,TransductiveSuperGAT
13,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.31333333333333335,TransductiveSuperGAT
14,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.4766666666666667,TransductiveSuperGAT
15,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.56,TransductiveSuperGAT
16,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.5466666666666666,TransductiveSuperGAT
17,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.58,TransductiveSuperGAT
18,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.51,TransductiveSuperGAT
19,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.42333333333333334,TransductiveSuperGAT
20,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.49,TransductiveSuperGAT
21,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.5666666666666667,TransductiveSuperGAT
22,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.53,TransductiveSuperGAT
23,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.5333333333333333,TransductiveSuperGAT
24,"tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)",0.52,TransductiveSuperGAT
25,"tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)",0.5233333333333333,TransductiveSuperGAT
26,"tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)",0.5133333333333333,TransductiveSuperGAT
27,"tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)",0.4533333333333333,TransductiveSuperGAT
28,"tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)",0.5066666666666667,TransductiveSuperGAT
29,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.59,TransductiveSuperGAT
30,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.54,TransductiveSuperGAT
31,"tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)",0.5266666666666666,TransductiveSuperGAT
32,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.49,TransductiveSuperGAT
33,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.47,TransductiveSuperGAT
34,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.5233333333333333,TransductiveSuperGAT
35,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.53,TransductiveSuperGAT
36,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.53,TransductiveSuperGAT
37,"tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)",0.5466666666666666,TransductiveSuperGAT
38,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.5366666666666666,TransductiveSuperGAT
39,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.49666666666666665,TransductiveSuperGAT
40,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.53,TransductiveSuperGAT
41,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.5466666666666666,TransductiveSuperGAT
42,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.5333333333333333,TransductiveSuperGAT
43,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.5366666666666666,TransductiveSuperGAT
44,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.5366666666666666,TransductiveSuperGAT
45,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.5266666666666666,TransductiveSuperGAT
46,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.51,TransductiveSuperGAT
47,"tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)",0.48333333333333334,TransductiveSuperGAT
48,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.5,TransductiveSuperGAT
49,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.54,TransductiveSuperGAT
50,"tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",0.5533333333333333,TransductiveSuperGAT
51,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.5466666666666666,TransductiveSuperGAT
52,"tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",0.5666666666666667,TransductiveSuperGAT
53,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.5433333333333333,TransductiveSuperGAT
54,"tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)",0.5366666666666666,TransductiveSuperGAT
55,"tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",0.53,TransductiveSuperGAT
56,"tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",0.53,TransductiveSuperGAT
57,"tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",0.5466666666666666,TransductiveSuperGAT
58,"tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",0.5866666666666667,TransductiveSuperGAT
