,loss,accuracy,model
0,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
1,"tensor(0.0053, device='cuda:0', grad_fn=<DivBackward0>)",0.27,TwoLayerGCN
2,"tensor(0.0040, device='cuda:0', grad_fn=<DivBackward0>)",0.24,TwoLayerGCN
3,"tensor(0.0032, device='cuda:0', grad_fn=<DivBackward0>)",0.2866666666666667,TwoLayerGCN
4,"tensor(0.0023, device='cuda:0', grad_fn=<DivBackward0>)",0.27666666666666667,TwoLayerGCN
5,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.23,TwoLayerGCN
6,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.23,TwoLayerGCN
7,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.30666666666666664,TwoLayerGCN
8,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.2633333333333333,TwoLayerGCN
9,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
10,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
11,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
12,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
13,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
14,"tensor(0.0020, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
15,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
16,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
17,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
18,"tensor(0.0019, device='cuda:0', grad_fn=<DivBackward0>)",0.26,TwoLayerGCN
19,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.2633333333333333,TwoLayerGCN
20,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.31,TwoLayerGCN
21,"tensor(0.0018, device='cuda:0', grad_fn=<DivBackward0>)",0.33666666666666667,TwoLayerGCN
22,"tensor(0.0017, device='cuda:0', grad_fn=<DivBackward0>)",0.3566666666666667,TwoLayerGCN
23,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.37,TwoLayerGCN
24,"tensor(0.0016, device='cuda:0', grad_fn=<DivBackward0>)",0.45666666666666667,TwoLayerGCN
25,"tensor(0.0015, device='cuda:0', grad_fn=<DivBackward0>)",0.5366666666666666,TwoLayerGCN
26,"tensor(0.0014, device='cuda:0', grad_fn=<DivBackward0>)",0.55,TwoLayerGCN
27,"tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",0.6066666666666667,TwoLayerGCN
28,"tensor(0.0011, device='cuda:0', grad_fn=<DivBackward0>)",0.6633333333333333,TwoLayerGCN
29,"tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)",0.6733333333333333,TwoLayerGCN
30,"tensor(0.0008, device='cuda:0', grad_fn=<DivBackward0>)",0.6466666666666666,TwoLayerGCN
31,"tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",0.7333333333333333,TwoLayerGCN
32,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.7533333333333333,TwoLayerGCN
33,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.69,TwoLayerGCN
34,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.8066666666666666,TwoLayerGCN
35,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.79,TwoLayerGCN
36,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.76,TwoLayerGCN
37,"tensor(0.0003, device='cuda:0', grad_fn=<DivBackward0>)",0.7733333333333333,TwoLayerGCN
